Concelho,Long,Lat,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020
Mirandela,-7.18059305257892,41.4985715500072,3,3,5,6,8,10,10,11,11,11,11,12,14,14,14,15,13,15,17,17,17,17,17,17,17
Mogadouro,-6.68320857481199,41.3276607522326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moimenta Da Beira,-7.62994072481955,40.9742631626774,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,5,7,8,8,8,8,7,9,10
Moita,-9.01489820742124,38.6511187088697,4,5,5,5,10,12,12,22,29,29,29,30,31,32,35,38,40,51,51,51,52,53,54,56,58
Monção,-8.44576906284915,42.0457471630889,0,0,0,0,3,3,3,5,5,5,5,6,6,6,7,9,11,11,11,11,20,20,27,31,54
Monchique,-8.58386529206572,37.3243001062603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mondim De Basto,-7.92001150130248,41.4042733959079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monforte,-7.43610604918521,39.0471398183115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montalegre,-7.83826451283795,41.7706837901971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montemor-O-Novo,-8.24724878059728,38.6642560561506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montemor-O-Velho,-8.64887874890211,40.2137138839399,0,0,0,8,8,10,12,12,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15
Montijo,-8.94606289094826,38.7025932701247,5,4,4,4,9,11,11,14,19,21,22,22,23,24,26,26,27,37,38,40,40,40,39,40,40
Mora,-8.11973863453825,38.9402990308336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mortágua,-8.24255758714056,40.4086539946929,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3
Moura,-7.32772859215277,38.1366401048448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,27,27,28,28
Mourão,-7.28019544108976,38.3339180292593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Murça,-7.43818427545629,41.4127787580827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4
Murtosa,-8.66386352410735,40.752721589623,0,0,0,4,5,0,6,6,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,7,7
Nazaré,-9.0389522174264,39.6058285152632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelas,-7.87569110105354,40.522874624739,0,0,3,3,4,0,5,4,7,7,8,9,9,9,9,10,12,13,13,13,13,13,12,13,13
Nisa,-7.65262288133863,39.4953401241349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Óbidos,-9.16786910504855,39.3602714816755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3
Odemira,-8.64199060381978,37.6266997078845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odivelas,-9.1919967661751,38.7956452638781,14,18,18,18,46,63,64,66,72,83,86,93,95,95,99,100,112,124,131,136,141,142,146,152,154
Oeiras,-9.26992775451772,38.7126125569546,16,17,17,17,47,74,79,70,78,93,100,116,120,125,142,146,152,161,163,167,168,180,180,182,186
Oleiros,-7.86803510530831,39.9430452814407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olhão,-7.82273319787362,37.0435452317767,0,0,0,0,0,3,3,3,5,5,7,7,7,9,9,9,9,10,11,11,12,12,12,13,13
Oliveira De Azeméis,-8.4739196634989,40.8531742794241,11,18,26,30,46,67,71,59,67,71,75,82,84,86,92,94,99,106,114,117,118,118,130,143,145
Oliveira De Frades,-8.22331234518822,40.7167853741272,0,0,0,0,3,7,7,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,6,6
Oliveira Do Bairro,-8.54933218684199,40.5175257003603,0,0,6,7,7,9,10,9,10,10,10,11,11,11,13,13,14,15,15,15,15,16,16,16,16
Oliveira Do Hospital,-7.864012058711,40.3641945733029,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,4,5,6,6,7,7,8
Ourém,-8.5877937770773,39.6688166009306,0,3,3,3,4,0,5,5,9,9,10,14,15,15,19,19,21,25,25,26,26,26,26,26,27
Ourique,-8.28633816821854,37.6505372820864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ovar,-8.62198321316794,40.8896543168231,55,58,119,145,145,159,241,159,194,209,220,222,238,224,247,273,275,379,403,409,416,435,455,487,498
Paços De Ferreira,-8.37615226306858,41.2856253074151,5,10,19,22,22,31,35,40,47,48,64,69,84,92,112,113,130,136,146,158,163,167,178,177,183
Palmela,-8.88350573442106,38.6116068465098,0,0,0,0,5,7,9,11,11,11,11,11,11,11,11,11,14,14,14,14,15,15,16,18,19
Pampilhosa Da Serra,-7.89505447995311,40.0787747170143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paredes,-8.38535866498357,41.206270570211,7,8,16,18,21,34,35,42,44,46,56,66,91,96,110,113,126,132,141,150,165,166,174,184,186
Paredes De Coura,-8.57095255878073,41.9067651972928,0,0,0,0,0,0,0,0,0,3,3,3,3,5,6,6,6,6,6,6,6,6,6,6,6
Pedrógão Grande,-8.18070571810532,39.937034302422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3
Penacova,-8.28502580006223,40.2857352272532,0,0,0,4,3,3,5,5,5,6,7,7,7,7,8,8,8,9,9,9,9,9,10,10,11
Penafiel,-8.28971645612882,41.1641132489854,6,7,11,11,13,21,22,31,32,37,39,42,49,53,56,56,72,78,84,91,98,100,104,110,110
Penalva Do Castelo,-7.68895767617859,40.6701383192757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penamacor,-7.1607831452,40.1574942758296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penedono,-7.39532873941968,40.9978547482201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penela,-8.37497111318614,40.0076787138098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Peniche,-9.3494666663296,39.3488414227393,0,0,0,0,0,0,3,0,3,4,5,5,5,6,7,7,7,7,6,7,7,7,7,7,8
Peso Da Régua,-7.7875986267072,41.174625866926,0,0,0,0,0,0,6,3,5,9,9,9,9,9,9,9,10,11,13,15,15,15,24,44,45
Pinhel,-7.1142373498753,40.7446410618699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,9,9,9,15,20,21,21
Pombal,-8.67242668322342,39.9206657989552,3,3,12,13,13,18,19,21,36,36,36,35,35,35,34,34,31,31,31,31,32,33,31,31,37
Ponte Da Barca,-8.38667145336283,41.7939070604224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,4,4
Ponte De Lima,-8.58147950693847,41.7485155969009,0,0,5,5,5,3,5,0,0,0,0,5,6,7,12,12,16,17,19,19,19,21,22,22,22
Ponte De Sor,-8.03272283236805,39.2312843033595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portalegre,-7.42592328024104,39.288404955517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,3
Portel,-7.72550063843308,38.3091269203202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portimão,-8.55143468204795,37.1807524556173,8,7,16,17,17,18,19,21,22,21,23,22,23,24,25,25,29,30,29,29,30,32,32,32,32
Porto,-8.62097182800836,41.1617371877887,126,137,259,317,343,417,941,462,505,556,606,643,660,689,730,750,776,840,852,885,921,959,980,988,1017
Porto De Mós,-8.82170072449557,39.5823848826926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,4,4,6
Póvoa De Lanhoso,-8.26045784639972,41.5790065320186,0,0,4,7,7,12,12,14,17,17,17,21,21,21,23,23,25,25,27,28,29,29,25,31,32
Póvoa De Varzim,-8.73818481647387,41.4014903433243,0,0,13,15,15,16,24,15,21,23,27,30,30,30,33,34,33,47,56,60,62,69,71,77,79
Proença-A-Nova,-7.86799030060477,39.7442093349994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Redondo,-7.59846741696279,38.6232018742459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reguengos De Monsaraz,-7.52159015028482,38.4134752984582,0,0,0,0,3,3,4,3,5,0,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8
Resende,-7.94343023750327,41.0911361111915,0,0,3,9,32,26,27,35,36,37,37,42,45,45,52,52,53,53,53,53,53,53,54,57,57
Ribeira De Pena,-7.81843685998283,41.5002347441136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Maior,-8.91367224414476,39.3340701636446,0,0,0,0,0,0,4,4,4,4,4,9,9,8,8,8,8,8,8,8,9,11,11,12,12
Sabrosa,-7.59237111419364,41.2584981681587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,4,4,4,4
Sabugal,-7.03769767305542,40.3598079241223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salvaterra De Magos,-8.7082220416658,39.0320421594468,0,0,0,0,0,0,0,0,0,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5
Santa Comba Dão,-8.12113916388904,40.4032752827937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,5,6
Santa Maria Da Feira,-8.53289456752324,40.9644548384268,33,39,45,54,103,136,154,148,162,174,187,212,216,224,231,233,246,254,265,269,279,279,292,306,311
Santa Marta De Penaguião,-7.79164041116284,41.2189478212474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
Santarém,-8.71193710167111,39.2879521833834,9,9,9,9,20,22,26,27,28,29,29,38,38,38,42,42,46,46,45,47,47,50,53,53,54
Santiago Do Cacém,-8.65618380443116,37.9955108726037,0,0,0,0,0,0,6,6,6,6,6,6,6,7,7,8,8,8,11,11,11,11,11,12,13
Santo Tirso,-8.40758849217354,41.3387058221462,7,8,13,20,24,42,44,43,48,54,58,64,73,82,93,94,107,114,128,139,149,160,173,199,215
São Brás De Alportel,-7.87864220690078,37.1956837928743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São João Da Madeira,-8.49036540105296,40.8956315082288,0,0,3,9,13,28,32,25,28,30,31,32,32,35,35,36,36,41,44,44,45,48,51,52,52
São João Da Pesqueira,-7.43972066851331,41.1255375546446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
São Pedro Do Sul,-8.08301772996099,40.7851055465691,0,0,0,0,0,3,3,3,3,4,4,6,6,6,6,6,7,7,8,8,8,8,7,8,8
Sardoal,-8.14468684881541,39.5505032709963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sátão,-7.70559905372536,40.753826758461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5
Seia,-7.71608045874686,40.4055597578283,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,7
Seixal,-9.119275121279,38.6111675152815,21,29,29,29,59,66,68,71,79,85,92,96,101,102,109,113,116,125,127,129,129,129,129,134,139
Sernancelhe,-7.50337625185547,40.9135218690338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serpa,-7.49028378669943,37.9368655385317,0,0,0,0,0,0,0,0,0,3,3,3,4,4,6,6,6,17,17,17,17,17,18,18,18
Sertã,-8.11606480117064,39.8239136061586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Sesimbra,-9.0902065360845,38.5180893356729,4,4,4,4,7,10,11,10,10,9,10,12,13,12,13,13,16,17,17,17,17,17,16,19,19
Setúbal,-8.89865980320281,38.5223633826495,7,9,9,9,15,20,24,25,31,33,34,36,37,37,40,43,44,52,52,53,55,56,59,60,60
Sever Do Vouga,-8.36201023459004,40.7309275950373,0,0,0,0,0,3,3,0,0,0,0,4,5,5,5,5,5,5,7,7,7,7,21,28,28
Silves,-8.35026380286265,37.2085715107966,3,3,5,5,5,0,5,6,6,7,7,10,10,11,11,10,15,16,15,15,19,20,21,21,21
Sines,-8.7817596958181,37.942673087484,0,0,0,0,0,0,4,3,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4
Sintra,-9.31396790249558,38.7874325331928,39,43,8,8,116,148,159,167,192,224,242,254,269,278,299,310,334,358,374,394,397,404,421,437,463
Sobral De Monte Agraço,-9.16702830621241,38.9962010177658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soure,-8.62630002226034,40.0821995205077,3,3,7,7,7,0,8,7,8,8,8,8,8,8,8,8,10,11,12,12,12,13,13,17,18
Sousel,-7.7284863856593,38.9636432452782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tábua,-8.00646706086137,40.3479743993231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,15,16,20,22,22
Tabuaço,-7.56893488274943,41.1001002857424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarouca,-7.76324422846817,41.0223351311115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tavira,-7.67963073601268,37.1789430906571,0,0,0,0,0,0,0,3,3,3,3,6,11,24,24,24,25,25,26,27,29,30,30,30,35
Terras De Bouro,-8.23743162570319,41.7143006050919,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,6,6,6,7,7,7,6,8,8
Tomar,-8.39559566145939,39.5936869285904,0,0,0,0,6,3,9,3,3,4,4,4,5,5,6,7,8,8,9,9,9,9,10,10,10
Tondela,-8.09338592002074,40.5376020655809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,7,8,8,8,8,8,9
Torre De Moncorvo,-7.03557936184351,41.1825955992741,0,0,0,3,3,0,3,0,0,0,0,0,12,12,18,18,19,19,21,22,22,22,23,23,23
Torres Novas,-8.54206640277369,39.490710862096,0,0,0,0,3,0,4,0,0,0,3,4,4,4,7,7,7,9,9,9,9,9,10,10,10
Torres Vedras,-9.25050567080782,39.1003280769644,0,0,0,0,13,11,13,13,13,15,16,19,21,22,26,28,28,29,29,29,26,28,32,32,32
Trancoso,-7.33633580630122,40.7823348599916,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,4,10,10,11,12,12,12,15,16,16
Trofa,-8.5687934334543,41.313598094248,0,0,8,8,14,29,30,31,35,42,45,43,48,56,57,59,66,72,75,79,84,86,91,97,101
Vagos,-8.68352695138193,40.5150833898575,0,0,3,4,5,0,5,5,5,6,7,7,8,8,9,9,9,11,13,13,13,13,13,15,15
Vale De Cambra,-8.3710413574998,40.8432647560692,3,4,3,5,15,24,25,22,23,23,25,31,33,36,39,40,44,48,52,55,60,63,66,71,72
Valença,-8.62463174652318,42.0052988653559,0,0,0,0,0,0,0,0,3,3,3,3,4,4,4,5,6,6,6,6,6,6,6,7,7
Valongo,-8.51856946943489,41.211591945384,65,71,100,108,139,184,202,210,233,275,308,320,344,364,387,397,429,455,464,479,491,507,529,552,562
Valpaços,-7.33866231594615,41.6111467467345,0,0,0,0,0,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5
Vendas Novas,-8.48506812113438,38.6742033112923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viana Do Alentejo,-8.06237945481882,38.3695297273791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viana Do Castelo,-8.77849445989194,41.6955050352278,7,7,19,19,24,33,36,33,34,34,38,39,49,68,75,79,82,87,95,104,104,110,120,125,126
Vidigueira,-7.75844697847108,38.1987689146451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vieira Do Minho,-8.12775536593558,41.6266246339374,0,0,0,0,0,0,3,3,4,6,6,8,9,9,9,11,13,13,13,14,15,15,19,24,24
Vila De Rei,-8.14489442923381,39.6823002829969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vila Do Bispo,-8.88840300667409,37.0760670185079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vila Do Conde,-8.71019390779994,41.3383145781161,8,8,12,15,22,32,39,34,39,39,40,47,47,47,49,50,55,68,77,86,130,137,174,182,186
Vila Flor,-7.15468758196758,41.3062333777452,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,5,5,5,5,5,5,5,5,5
Vila Franca De Xira,-9.03996937910262,38.8999793127471,5,6,6,6,16,22,24,22,26,30,34,35,36,36,42,44,48,55,60,61,62,67,71,72,75
Vila Nova Da Barquinha,-8.41281291843188,39.4771492472756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3
Vila Nova De Cerveira,-8.71547471732063,41.9368757929192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,6,6
Vila Nova De Famalicão,-8.49062967793035,41.4056001109784,12,14,44,48,48,61,71,93,99,107,110,121,143,145,150,154,168,180,193,211,225,228,235,246,250
Vila Nova De Foz Côa,-7.18013100804082,41.0750421214918,0,0,0,0,0,0,19,0,0,0,0,0,0,0,7,7,69,70,70,70,68,68,72,72,76
Vila Nova De Gaia,-8.60315514665919,41.0926104977352,68,83,163,262,262,351,344,338,387,418,449,468,499,518,551,576,631,710,758,796,842,884,923,956,972
Vila Nova De Paiva,-7.76334799804725,40.867689593443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vila Nova De Poiares,-8.2569989633979,40.211591386937,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Vila Pouca De Aguiar,-7.62146823184321,41.5104241602068,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Vila Real,-7.73856609355405,41.3053283808624,4,9,8,34,98,103,115,121,124,124,124,127,129,129,132,132,131,134,134,137,138,139,143,144,145
Vila Real De Santo António,-7.45359491707658,37.1892350759188,0,0,3,0,5,0,5,9,9,11,11,0,0,15,15,15,13,13,13,13,14,14,14,14,14
Vila Velha De Ródão,-7.66666776853024,39.6857036498421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vila Verde,-8.45593917114561,41.6529375552289,0,0,0,5,10,14,15,25,30,36,41,41,43,44,48,49,57,57,62,70,87,90,92,106,107
Vila Viçosa,-7.40129800926171,38.7616975497156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vimioso,-6.54325493407125,41.5810699021013,0,0,0,0,0,3,3,3,4,4,4,4,6,7,7,7,7,7,8,8,8,8,8,8,8
Vinhais,-7.04768630965132,41.8174791654935,0,0,0,0,0,0,0,0,0,0,5,5,9,9,9,9,10,10,10,10,10,10,10,10,10
Viseu,-7.90949790200889,40.6667217316617,6,11,20,21,21,20,28,19,21,22,24,29,33,33,36,37,55,62,65,68,69,69,61,67,71
Vizela,-8.2858247897114,41.3736512001775,0,0,0,3,4,0,5,8,11,11,11,12,15,15,17,17,19,20,2,23,26,26,25,32,34
Vouzela,-8.12330714807307,40.6877634950808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
